rank,Longitude,Latitude,Time,Temperature,Depth,Vessel_name,Profil_id
130,5.168700218200684,60.685699462890625,19652.187280092592,6.413,202,AA,194
131,5.168700218200684,60.685699462890625,19652.5134375,6.413,202,AA,194
132,5.215000152587891,60.65620040893555,19652.67042824074,6.413,202,AA,196
133,5.255799770355225,60.624298095703125,19652.937997685185,,202,AA,199
134,5.091300010681152,60.71220016479492,19653.09107638889,6.4110000000000005,202,AA,193
135,5.05620002746582,60.72549819946289,19653.734733796296,,202,AA,191
136,5.055799961090088,60.725799560546875,19653.749270833334,,202,AA,190
137,5.038300037384033,60.73350143432617,19653.932997685184,,202,AA,189
138,6.869800090789795,57.63370132446289,19668.302037037036,7.86,202,AA,242
139,6.361199855804443,57.650299072265625,19668.441435185185,,202,AA,233
140,5.934700012207031,57.6682014465332,19668.548333333332,,202,AA,223
141,5.857699871063232,57.76169967651367,19668.622893518517,,202,AA,220
142,5.957200050354004,57.92319869995117,19668.719050925927,8.018,202,AA,225
143,6.554200172424316,58.16080093383789,19668.89613425926,7.9910000000000005,202,AA,238
144,6.0346999168396,58.29100036621094,19669.012800925924,8.192,202,AA,226
145,5.776199817657471,58.2859992980957,19669.096412037037,7.941,202,AA,218
146,5.483799934387207,58.33649826049805,19669.186550925926,8.345,202,AA,212
147,5.461699962615967,58.40380096435547,19669.288194444445,8.235,202,AA,209
148,5.572000026702881,58.561798095703125,19669.387314814816,8.120000000000001,202,AA,216
149,5.415299892425537,58.58919906616211,19669.46125,7.852,202,AA,208
150,5.242000102996826,58.590301513671875,19669.54097222222,7.646,202,AA,198
151,4.980800151824951,58.660499572753906,19669.623726851853,7.527,202,AA,187
152,4.6427001953125,58.54280090332031,19669.744930555556,7.639,202,AA,179
153,4.517000198364258,58.891998291015625,19669.888703703702,7.446,202,AA,175
154,4.9166998863220215,58.932701110839844,19670.003194444445,7.992,202,AA,185
155,5.173799991607666,58.94049835205078,19670.097962962962,7.567,202,AA,195
156,4.348700046539307,58.383201599121094,19672.30861111111,8.066,202,AA,172
157,4.155300140380859,58.33980178833008,19672.42976851852,,202,AA,167
158,4.786499977111816,58.20830154418945,19672.63351851852,7.915,202,AA,181
159,6.409200191497803,57.98030090332031,19673.457476851854,7.936,202,AA,234
160,5.783299922943115,58.94419860839844,19682.974791666667,7.518,202,AA,219
161,6.076900005340576,58.89459991455078,19683.289097222223,,202,AA,228
162,6.274400234222412,59.00320053100586,19683.34252314815,7.336,202,AA,232
163,6.495800018310547,59.03179931640625,19683.391180555554,7.349,202,AA,235
164,6.630199909210205,59.05139923095703,19683.43263888889,,202,AA,240
165,5.8653998374938965,58.984901428222656,19683.559675925924,7.3870000000000005,202,AA,221
166,5.869500160217285,59.067501068115234,19683.598541666666,,202,AA,222
167,6.074999809265137,59.39590072631836,19683.774791666667,7.644,202,AA,227
168,6.259300231933594,59.507999420166016,19683.833819444444,7.549,202,AA,231
169,5.941999912261963,59.309600830078125,19683.93388888889,7.526,202,AA,224
170,5.551499843597412,59.16559982299805,19684.02965277778,7.827,202,AA,214
171,6.543499946594238,60.081199645996094,19685.29045138889,,202,AA,236
172,6.547800064086914,60.12200164794922,19685.31355324074,,202,AA,237
173,6.564199924468994,60.17020034790039,19685.341608796294,7.377,202,AA,239
174,6.633999824523926,60.32500076293945,19685.397696759257,7.386,202,AA,241
175,4.7891998291015625,60.856300354003906,19686.994618055556,8.892,202,AA,182
176,4.8993000984191895,60.84980010986328,19687.029293981483,8.337,202,AA,184
177,5.076000213623047,60.817298889160156,19687.0784375,8.143,202,AA,192
178,5.236499786376953,60.760799407958984,19687.13505787037,8.066,202,AA,197
179,5.411300182342529,60.698699951171875,19687.2084375,7.982,202,AA,207
180,5.340799808502197,60.82429885864258,19687.282349537036,8.014,202,AA,203
181,5.364500045776367,60.86669921875,19687.31769675926,8.022,202,AA,205
