,Longitude,Latitude,Time,Temperature,Depth,PlatformCode
855,0.6697999835014343,56.999298095703125,19381.08150462963,7.876,9,AA
856,0.23119999468326569,56.99879837036133,19381.1458912037,7.913,9,AA
857,-0.23250000178813934,56.999298095703125,19381.21820601852,8.015,9,AA
858,-0.6983000040054321,57.00019836425781,19381.291689814814,8.029,9,AA
859,-1.1273000240325928,57.00130081176758,19381.355381944446,7.993,9,AA
860,-1.465999960899353,57.00230026245117,19381.407152777778,7.994,9,AA
861,2.4753000736236572,58.20349884033203,19383.328761574074,7.812,9,AA
862,2.450000047683716,58.698299407958984,19383.481527777778,7.48,9,AA
863,3.5894999504089355,58.713199615478516,19383.636689814815,7.247,9,AA
864,3.858299970626831,58.49020004272461,19383.732800925925,6.388,9,AA
865,4.177999973297119,58.313201904296875,19383.829999999998,7.072,9,AA
866,3.1493000984191895,59.71730041503906,19384.32238425926,8.944,9,AA
867,2.752700090408325,59.63029861450195,19384.445532407408,7.897,9,AA
868,1.2741999626159668,59.701698303222656,19385.749733796296,7.6530000000000005,9,AA
869,0.815500020980835,59.667198181152344,19385.854247685184,7.4910000000000005,9,AA
870,-0.9847999811172485,59.2848014831543,19369.830231481483,8.093,10,AA
871,-0.6563000082969666,59.2848014831543,19369.882118055557,7.567,10,AA
872,-0.3617999851703644,59.2848014831543,19369.925960648146,7.351,10,AA
873,0.006500000134110451,59.281700134277344,19369.97979166667,7.486,10,AA
874,0.3292999863624573,59.284698486328125,19370.039548611112,7.527,10,AA
875,0.6779999732971191,59.28379821777344,19370.08986111111,7.618,10,AA
876,1.003499984741211,59.28219985961914,19370.14857638889,7.44,10,AA
877,1.3131999969482422,59.28219985961914,19370.195069444442,7.2330000000000005,10,AA
878,1.6562999486923218,59.28379821777344,19370.253969907408,7.23,10,AA
879,2.012500047683716,59.284000396728516,19370.392291666667,7.186,10,AA
880,2.246999979019165,59.28450012207031,19370.426342592593,7.164000000000001,10,AA
881,2.5167999267578125,59.28200149536133,19370.515162037038,7.062,10,AA
882,2.751300096511841,59.28369903564453,19370.551828703705,6.9510000000000005,10,AA
883,2.9019999504089355,59.28269958496094,19370.590659722224,7.636,10,AA
884,3.074199914932251,59.28730010986328,19370.61494212963,7.43,10,AA
885,3.227299928665161,59.28300094604492,19370.676157407408,6.964,10,AA
886,3.3631999492645264,59.28350067138672,19371.464363425926,8.298,10,AA
887,3.5336999893188477,59.283199310302734,19371.497337962963,7.351,10,AA
888,3.682499885559082,59.28300094604492,19371.52736111111,6.611,10,AA
889,3.849299907684326,59.28620147705078,19371.559618055555,6.3790000000000004,10,AA
890,4.032700061798096,59.28919982910156,19371.591944444444,6.642,10,AA
891,4.18120002746582,59.288299560546875,19371.617962962962,6.143,10,AA
892,4.333799839019775,59.284698486328125,19371.64386574074,6.053,10,AA
893,4.499199867248535,59.283199310302734,19371.673298611113,5.9190000000000005,10,AA
